"","TOC","BD_fine","depth"
"809",0.148,1.48,100
"810",0.565,1.36,70
"811",0.566,1.43,100
"812",1.345,1.29,50
"813",1.07,1.37,60
"814",0.644,1.33,70
"815",0.499,1.3,50
"816",0.28,1.42,70
"817",0.179,1.43,100
"818",0.179,1.66,85
"819",0.079,1.74,100
"820",0.295,1.51,70
"821",0.218,1.52,100
"822",1.524,1.28,10
"823",1.001,1.49,30
"824",0.269,1.51,70
"825",1.428,1.39,50
"826",0.611,1.31,100
"827",1.304,1.2,100
"828",0.205,1.45,100
"829",0.232,1.37,70
"830",0.226,1.53,50
"831",0.185,1.52,70
"832",0.131,1.55,100
"833",0.172,1.42,100
"834",0.698,1.54,50
"835",0.758,1.38,70
"836",0.384,1.51,70
"837",0.298,1.41,100
"838",0.585,1.49,100
"839",0.83,1.65,30
"840",0.254,1.55,50
"841",0.172,1.54,70
"842",0.132,1.56,100
"843",1.268,1.19,10
"844",1.075,1.37,21
"845",1.104,1.4,30
"846",0.269,1.44,50
"847",0.245,1.42,70
"848",0.193,1.47,82
"849",0.25,1.49,70
"850",0.232,1.48,100
"851",0.204,1.47,70
"852",0.155,1.53,100
"853",0.302,1.51,50
"854",3.287,1.04,10
"855",1.452,1.26,30
"856",1.063,1.27,50
"857",0.275,1.59,30
"858",0.205,1.53,50
"859",0.146,1.58,70
"860",0.123,1.54,100
"861",3.762,1.19,10
"862",0.511,1.47,30
"863",0.315,1.51,50
"864",1.613,1.17,10
"865",1.728,1.24,20
"866",0.732,1.45,40
"867",0.512,1.44,50
"868",0.459,1.38,60
"869",0.26,1.46,100
"870",0.708,1.34,70
"871",1.395,1.19,100
"872",0.686,1.14,82
"873",0.832,1.48,50
"874",0.565,1.39,70
"875",0.282,1.53,50
"876",0.272,1.51,65
"877",0.241,1.41,70
"878",0.15,1.61,100
"879",4.309,1.01,10
"880",0.513,1.45,100
"881",0.621,1.49,100
"882",0.281,1.48,70
"883",0.233,1.51,100
"884",0.285,1.54,70
"885",0.197,2.09,100
"886",0.278,1.54,50
"887",0.162,1.53,100
"888",0.209,1.43,70
"889",0.154,1.44,100
"890",0.261,1.61,70
"891",0.203,1.53,70
"892",2.94,1.03,10
"893",0.698,1.35,50
"894",0.546,1.45,70
"895",1.727,1.44,50
"896",0.875,1.35,70
"897",1.066,1.55,40
"898",0.956,1.43,50
"899",0.555,1.36,70
"900",2.075,1.2,10
"901",1.836,1.59,30
"902",0.745,1.47,70
"903",0.257,1.55,50
"904",0.179,1.54,70
"905",0.206,1.51,100
"906",1.373,1.07,10
"907",0.225,1.55,70
"908",3.176,1.12,10
"909",1.498,1.42,30
"910",0.862,1.49,50
"911",0.586,1.59,70
"912",0.374,1.55,90
"913",0.318,1.45,70
"914",0.26,1.5,70
"915",0.185,1.59,100
"916",0.404,1.48,50
"917",0.33,1.54,60
"918",0.252,1.55,70
"919",0.184,1.6,50
"920",0.486,1.66,30
"921",0.127,1.59,100
"922",2.332,1.33,10
"923",0.207,1.54,70
"924",0.224,1.55,100
"925",0.193,1.6,100
"926",0.502,1.5,42
"927",0.456,1.49,50
"928",0.346,1.49,70
"929",0.267,1.55,89
"930",0.193,1.56,100
"931",0.071,1.76,100
"932",1.272,1.52,30
"933",0.523,1.52,50
"934",0.325,1.46,70
"935",0.281,1.49,85
"936",0.253,1.48,100
"937",0.67,1.58,58
"938",0.468,1.35,70
"939",0.341,1.43,100
"940",0.39,1.61,42
"941",0.124,1.65,60
"942",0.055,1.66,100
"943",0.361,1.48,78
"944",0.259,1.56,100
"945",0.21,1.51,70
"946",0.207,1.57,100
"947",0.238,1.51,70
"948",0.196,1.55,100
"949",2.588,1.18,10
"950",1.502,1.41,30
"951",0.581,1.55,70
"952",0.332,1.76,30
"953",0.409,1.44,80
"954",4.742,0.89,10
"955",0.35,1.54,50
"956",0.657,1.45,100
"957",0.498,1.48,70
"958",0.397,1.55,100
"959",2.245,1.13,10
"960",0.249,1.45,50
"961",0.174,1.44,70
"962",5.07,1,10
"963",1.593,1.3,30
"964",1.025,1.32,50
"965",0.87,1.4,70
"966",2.025,1.24,10
"967",0.596,1.27,70
"968",1.376,1.02,100
"969",0.275,1.58,50
"970",0.144,1.59,70
"971",0.98,1.31,70
"972",0.925,1.39,100
"973",0.352,1.17,70
"974",0.233,1.15,100
"975",0.36,1.5,50
"976",0.354,1.46,70
"977",4.812,0.75,10
"978",0.167,1.64,70
"979",0.306,1.45,70
"980",0.227,1.4,100
"981",1.129,1.5,20
"982",0.303,1.52,50
"983",0.201,1.47,70
"984",0.174,1.42,100
"985",0.318,1.37,80
"986",0.309,1.56,50
"987",0.164,1.51,70
"988",3.594,0.95,10
"989",0.746,1.45,50
"990",0.69,1.43,70
"991",0.67,1.42,100
"992",0.373,1.56,50
"993",1.615,1.18,30
"994",4.237,1.05,10
"995",2.709,1.21,30
"996",1.159,1.4,50
"997",0.69,1.38,70
"998",0.975,1.41,50
"999",0.777,1.4,70
"1000",0.31,1.6,100
"1001",4.254,1.03,10
"1002",3.266,1.13,10
"1003",0.382,1.51,50
"1004",0.783,1.3,50
"1005",0.527,1.35,50
"1006",0.491,1.21,60
"1007",0.499,1.23,70
"1008",0.34,1.34,100
"1009",0.185,1.57,70
"1010",0.157,1.54,85
"1011",0.139,1.55,100
"1012",7.005,0.63,10
"1013",1.464,1.15,30
"1014",1.157,1.08,50
"1015",0.674,0.95,70
"1016",2.794,1.03,30
"1017",0.166,1.49,70
"1018",0.133,1.59,100
"1019",0.49,1.35,70
"1020",0.253,1.47,70
"1021",0.278,1.52,100
"1022",0.351,1.57,100
"1023",0.872,1.51,30
"1024",0.27,1.43,60
"1025",6.314,0.59,10
"1026",0.592,1.39,50
"1027",0.408,1.47,70
"1028",0.338,1.35,100
"1029",0.361,1.55,70
"1030",0.189,1.5,70
"1031",0.117,1.52,100
"1032",0.257,1.67,100
"1033",1.529,1.34,50
"1034",1.179,1.33,70
"1035",1.479,1.28,21
"1036",0.308,1.57,30
"1037",0.246,1.51,50
"1038",0.181,1.55,70
"1039",0.123,1.53,90
"1040",0.678,1.48,100
"1041",0.375,1.51,50
"1042",0.278,1.47,70
"1043",0.224,1.57,100
"1044",0.377,1.4,50
"1045",0.332,1.35,70
"1046",0.971,1.5,30
"1047",0.354,1.67,50
